一级类目,一级类目ID,二级类目,二级类目ID,三级类目,三级类目ID,关键词,ID,状态,推荐,来源
家装建材,9855,灯饰照明,9856,吸顶灯,9904,中式吸顶灯,01a68c60d4767bc4,启用,普通,品牌词
美妆个护,1316,面部护肤,1381,面膜,1392,去痘面膜,08fbbfaac06e270a,启用,普通,品牌词
家装建材,9855,灯饰照明,9856,吸顶灯,9904,家装灯具,9d0d8c705671146e,启用,普通,品牌词
家具,9847,卧室家具,9848,床,9863,现代中式床,c2b2bd97e6a67cf9,启用,普通,品牌词
家具,9847,办公家具,9854,屏风/办公桌,9893,屏风工位办公桌,b4c0e3fab9a7a17d,启用,普通,品牌词
运动户外,1318,健身训练,1463,哑铃,12111,女士哑铃,069d6aff0b46ac85,启用,普通,品牌词
运动户外,1318,体育用品,1466,羽毛球,1695,羽毛球网,452d88286a184941,启用,普通,品牌词
医药保健,9192,保健器械,9197,拐杖,12596,老人拐杖,55b0ae1603873c3b,启用,普通,品牌词
家具,9847,餐厅家具,9850,酒柜,9879,简约酒柜,0697359008a7c558,启用,普通,品牌词
生鲜,12218,冷冻食品,13591,水饺/馄饨,13592,馄饨,23e56d80ad1be5df,启用,普通,品牌词
礼品箱包,1672,功能箱包,2577,电脑包,3997,男双肩包,d86335d9f1c374ec,启用,普通,品牌词
运动户外,1318,运动服饰,12102,套装,9767,运动套装,4ea4bb4c98bacd73,启用,普通,品牌词
家居家纺,1620,生活日用,1624,浴室用品,1657,马桶盖垫,280c49c6145351e2,启用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,高跟鞋,9772,女士高跟皮鞋,af48387a127e02ae,启用,普通,品牌词
医药保健,9192,传统滋补,9195,燕窝,12179,孕妇燕窝,b501719d2d1f2ee4,启用,普通,品牌词
汽车用品,6728,汽车装饰,6745,功能小件,11889,旋转手机,30732d7ea79692b5,启用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,凉鞋,6917,女士凉鞋,ca5acc3fcf675172,启用,普通,品牌词
家居家纺,1620,生活日用,1624,雨伞雨具,1656,折叠伞,8ecaff9a0e1778b0,启用,普通,品牌词
家居家纺,1620,家装软饰,11158,装饰摆件,11166,办公室摆件,bb2aefac821eec94,启用,普通,品牌词
数码,652,智能设备,12345,智能手表,12348,推荐智能手表,7bec6a612674dc5e,启用,普通,品牌词
家具,9847,书房家具,9851,儿童学习桌/椅,9884,儿童电脑椅,867ac7d14f19c13d,启用,普通,品牌词
美妆个护,1316,面部护肤,1381,套装,1396,水乳液,64c36ae283cc5dbe,启用,普通,品牌词
家装建材,9855,厨房卫浴,9857,智能马桶盖,13754,坐便器智能盖,26f86983a263259e,启用,普通,品牌词
美妆个护,1316,面部护肤,1381,乳液面霜,1391,化妆水乳液面霜,7fa9353cd969349b,启用,普通,品牌词
家居家纺,1620,生活日用,1624,浴室用品,1657,简易马桶盖,2fc971abdf083227,启用,普通,品牌词
运动户外,1318,健身训练,1463,健身车,14666,磁控健身车,9cdd7176e860149b,启用,普通,品牌词
家居家纺,1620,生活日用,1624,浴室用品,1657,红色马桶盖,eaea47453a09a794,启用,普通,品牌词
服饰内衣,1315,内衣,1345,塑身美体,9747,塑身连体衣,b093525f2cb6e2ee,启用,普通,品牌词
珠宝首饰,6144,水晶玛瑙,6172,手镯/手链/脚链,6180,粉晶,b390f445fb7533b5,启用,普通,品牌词
礼品箱包,1672,功能箱包,2577,旅行包,2588,手提旅行包,d9721af1124598ac,启用,普通,品牌词
服饰内衣,1315,内衣,1345,文胸,1364,收副乳文胸,b930e9bb1bf71102,启用,普通,品牌词
美妆个护,1316,面部护肤,1381,乳液面霜,1391,滋养霜,cb0f4ee28586df63,启用,普通,品牌词
家装建材,9855,厨房卫浴,9857,浴室柜,9911,简欧式浴室柜,aea64ce3b0d84e07,启用,普通,品牌词
酒类,12259,中外名酒,12260,白酒,9435,礼品酒,298a8d731dea837c,启用,普通,品牌词
家用电器,737,厨卫大电,13297,电热水器,13690,太阳能热水,d25b9dfccab8767f,启用,普通,品牌词
家具,9847,书房家具,9851,电脑椅,9882,办公电脑椅,73c50a3de787183d,启用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,凉鞋,6917,夏季高跟凉鞋,b8d06b03ae2de1cf,启用,普通,品牌词
美妆个护,1316,洗发护发,1386,洗发,11922,护发产品,0b2916504c1d4eaa,启用,普通,品牌词
美妆个护,1316,面部护肤,1381,乳液面霜,1391,美白乳液面霜,eae481323f7dbfe9,启用,普通,品牌词
玩具乐器,6233,益智玩具,6271,健身架,7063,健身架,a316332bcfdae472,启用,普通,品牌词
美妆个护,1316,面部护肤,1381,精华,13546,精华液,b80cfa88b1ccbed2,启用,普通,品牌词
美妆个护,1316,面部护肤,1381,乳液面霜,1391,保湿乳液面霜,3833c22356e05de4,启用,普通,品牌词
礼品箱包,1672,礼品,2599,创意礼品,5266,创意玩具,cfc2fec5978446ba,启用,普通,品牌词
钟表,5025,钟表,5026,国表,13674,男士学生手表,d229c37d01303d1f,启用,普通,品牌词
美妆个护,1316,洗发护发,1386,护发,11923,护发油,ca57655a065fd8e3,启用,普通,品牌词
家居家纺,1620,生活日用,1624,洗晒/熨烫,1660,烫衣板,a59135978bb96491,启用,普通,品牌词
美妆个护,1316,面部护肤,1381,精华,13546,肌底液,a47869b4000c28e8,启用,普通,品牌词
礼品箱包,1672,功能箱包,2577,拉杆箱,2589,男士箱包,274f5d09bbc84de9,启用,普通,品牌词
家具,9847,餐厅家具,9850,餐边柜,9878,家具餐边柜,994632da8764a971,启用,普通,品牌词
家装建材,9855,五金工具,9858,测量工具,9923,钳形表,2216b4fca7db5f05,启用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,单鞋,6914,单鞋女鞋,efd4b6e6d3eed78b,启用,普通,品牌词
电脑、办公,670,办公设备,716,投影配件,5010,无线演示器,05c02a8a77cb46fe,启用,普通,品牌词
鞋靴,11729,流行男鞋,11730,休闲鞋,6908,真皮休闲男鞋,c21e8d4cc43e2936,启用,普通,品牌词
美妆个护,1316,面部护肤,1381,乳液面霜,1391,保湿乳液,724271c1e2837704,启用,普通,品牌词
珠宝首饰,6144,时尚饰品,6182,手链/脚链,6189,脚链手链,f001401170ad5199,启用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,凉鞋,6917,时尚高跟凉鞋,4aba18c7875f8831,启用,普通,品牌词
美妆个护,1316,面部护肤,1381,乳液面霜,1391,乳液面霜,a3c38f239ed120b4,启用,普通,品牌词
家装建材,9855,厨房卫浴,9857,智能马桶盖,13754,加热马桶盖,0b128443d1543b51,启用,普通,品牌词
服饰内衣,1315,内衣,1345,女式内裤,9743,蕾丝内裤,0d7f8bb46da6bc51,启用,普通,品牌词
医药保健,9192,护理护具,12190,鼻喉护理,12605,鼻炎喷剂,0a36ea959e935acd,启用,普通,品牌词
电脑、办公,670,外设产品,686,键盘,689,家用usb键盘,5105d129d7e5374b,启用,普通,品牌词
美妆个护,1316,面部护肤,1381,乳液面霜,1391,美白祛斑产品,e3b6832658462c17,启用,普通,品牌词
家具,9847,客厅家具,9849,边桌/茶几,9872,个性实木家具,1f9afcfc2dc0d4d7,启用,普通,品牌词
手机,9987,手机通讯,653,手机,655,直板手机,51c1b24b4b9b459e,启用,普通,品牌词
电脑、办公,670,网络产品,699,网络盒子,11304,智能网络机顶盒,61ca1e1cd8a022ca,启用,普通,品牌词
家用电器,737,厨卫大电,13297,燃气灶,13298,炉灶,54e92ba4af9866bd,启用,普通,品牌词
厨具,6196,厨房配件,6214,厨房DIY/小工具,11978,手摇榨汁机,83c85c181a41cf99,启用,普通,品牌词
家具,9847,办公家具,9854,屏风/办公桌,9893,职员屏风办公桌,7e7944ac3c1b775c,启用,普通,品牌词
珠宝首饰,6144,钻石,6160,钻戒,6162,白金钻戒,ca61f1d28922d447,启用,普通,品牌词
家具,9847,办公家具,9854,屏风/办公桌,9893,现代屏风办公桌,51918542d8afb76c,启用,普通,品牌词
礼品箱包,1672,功能箱包,2577,拉杆箱,2589,学生拉杆箱,d854adca6f6c79a4,启用,普通,品牌词
电脑、办公,670,外设产品,686,键盘,689,电脑键盘,4826d2347e68e0b4,启用,普通,品牌词
运动户外,1318,户外鞋服,2628,羽绒服/棉服,12126,女羽绒鞋,dd30bd59ef495aa1,启用,普通,品牌词
家用电器,737,厨房小电,752,电水壶/热水瓶,760,快速电水壶,2b668c02e815637c,启用,普通,品牌词
鞋靴,11729,流行男鞋,11730,商务休闲鞋,6907,反绒皮鞋,143eb3306f6ebaa7,启用,普通,品牌词
钟表,5025,钟表,5026,国表,13674,全国手表,0dd96729cef02a49,启用,普通,品牌词
家居家纺,1620,家装软饰,11158,装饰字画,11163,幼儿园装饰画,84abb69abac4b17a,启用,普通,品牌词
美妆个护,1316,面部护肤,1381,精华,13546,美白精华素,23364b3ecf4424b9,启用,普通,品牌词
厨具,6196,烹饪锅具,6197,水壶,6207,不锈钢水壶,c59ef14c5f7998b5,启用,普通,品牌词
运动户外,1318,健身训练,1463,综合训练器,12109,卧推架,4d384eda0ff39885,启用,普通,品牌词
家装建材,9855,五金工具,9858,电动工具,9922,冲击钻,b94dea7d4b312dc9,启用,普通,品牌词
手机,9987,手机配件,830,手机保护套,866,保护壳套,82a12fbcb4239545,启用,普通,品牌词
家具,9847,储物家具,9852,鞋架/衣帽架,9885,鞋架挂衣架,4df4e9cd7a319989,启用,普通,品牌词
运动户外,1318,运动服饰,12102,夹克/风衣,9763,夹克风衣,8befc905dbf09f05,启用,普通,品牌词
医药保健,9192,保健器械,9197,中医保健,1509,艾灸,e45953138ebca0b9,启用,普通,品牌词
家居家纺,1620,收纳用品,13780,收纳柜,13782,塑料收纳抽屉柜,61decc159804c5ba,启用,普通,品牌词
玩具乐器,6233,乐器,6291,乐器配件,6305,小提琴弦,0d5ffcb378284dec,启用,普通,品牌词
玩具乐器,6233,乐器,6291,乐器配件,6305,萨克斯哨片,0fca7f2ba3b69129,启用,普通,品牌词
服饰内衣,1315,女装,1343,连衣裙,9719,夏女装,e139ec1e34a5b39d,启用,普通,品牌词
钟表,5025,钟表,5026,国表,13674,男士腕表,1ae8e59f4db2ada6,启用,普通,品牌词
酒类,12259,中外名酒,12260,白酒,9435,低度白酒,ecdaf03163e2a3f3,启用,普通,品牌词
礼品箱包,1672,功能箱包,2577,旅行配件,4000,小收纳包,2272debeece3f04a,启用,普通,品牌词
电脑、办公,670,电脑整机,671,笔记本,672,轻薄笔记本电脑,77c8839b900c75b2,启用,普通,品牌词
电脑、办公,670,电脑整机,671,笔记本,672,10寸笔记本电脑,91d0d7ff174b530f,启用,普通,品牌词
手机,9987,手机通讯,653,手机,655,新款手机,65a4739e6264b8a0,启用,普通,品牌词
家用电器,737,厨卫大电,13297,油烟机,1300,侧吸式油烟机,ed6f090889b588d7,启用,普通,品牌词
鞋靴,11729,流行男鞋,11730,正装鞋,6906,男款皮鞋,973fd55b6ceb9f80,启用,普通,品牌词
美妆个护,1316,面部护肤,1381,眼霜,13547,去皱纹眼霜,3dce4c13cd897e24,启用,普通,品牌词
礼品箱包,1672,功能箱包,2577,拉杆箱,2589,国际拉杆箱,e6f195ef1d7623ed,启用,普通,品牌词
数码,652,数码配件,829,三脚架/云台,848,独脚架,737c437243efb5f2,启用,普通,品牌词
家具,9847,阳台/户外,9853,花架/装饰架,9890,铁艺花架,fd8827dce6892f92,启用,普通,品牌词
汽车用品,6728,维修保养,6742,卤素灯,6768,刹车灯,a43cb7a807d62ba1,启用,普通,品牌词
汽车用品,6728,维修保养,6742,卤素灯,6768,鹰眼灯,4de43bb6c2ea9b54,启用,普通,品牌词
宠物生活,6994,家居日用,6998,笼子/围栏,7022,鸟笼,188dc20e68202be2,启用,普通,品牌词
医药保健,9192,计生情趣,9196,男用延时,12609,男士湿巾纸,e700be4f02b93133,启用,普通,品牌词
美妆个护,1316,香水彩妆,1387,美妆工具,1429,洗面仪,1dc4b9452f744bb5,启用,普通,品牌词
家用电器,737,厨卫大电,13297,燃气热水器,13691,厨卫热水器,950b7658958dfa5d,启用,普通,品牌词
家居家纺,1620,收纳用品,13780,收纳柜,13782,环保收纳柜,25fd747bc3b6cfeb,启用,普通,品牌词
汽车用品,6728,安全自驾,6747,防盗设备,11955,gps定位器,6292b31cf0447817,启用,普通,品牌词
家具,9847,阳台/户外,9853,户外家具,9892,户外铁艺家具,1066e5dde7a2f8ab,启用,普通,品牌词
家具,9847,卧室家具,9848,床,9863,结婚床,477b1c2c228961d7,启用,普通,品牌词
家居家纺,1620,家装软饰,11158,花瓶花艺,11967,仿真树,0a0726934972a704,启用,普通,品牌词
医药保健,9192,传统滋补,9195,阿胶,12180,固元膏,3de9a221f8c9c317,启用,普通,品牌词
运动户外,1318,健身训练,1463,其他器械,12113,飞镖,9e902426d974aad8,启用,普通,品牌词
运动户外,1318,健身训练,1463,仰卧板/收腹机,12112,健身椅,4386c881999de8f5,启用,普通,品牌词
酒类,12259,中外名酒,12260,黄酒/养生酒,9436,黄酒米酒,521271f4df408dbd,启用,普通,品牌词
生鲜,12218,水果,12221,更多水果,13571,西番莲,56faa70912f8133a,启用,普通,品牌词
家居家纺,1620,生活日用,1624,雨伞雨具,1656,雨衣,036fb9c033432403,启用,普通,品牌词
母婴,1319,童装,11842,裤子,11224,儿童运动裤,7f6a65d762bf6b0f,启用,普通,品牌词
家装建材,9855,五金工具,9858,家用五金,9920,门配件,26904d03df693522,启用,普通,品牌词
运动户外,1318,体育用品,1466,台球,1701,台球,2a1f4ba63cf68adb,启用,普通,品牌词
玩具乐器,6233,乐器,6291,打击乐器,6303,爵士鼓,eee92a58e1f53510,启用,普通,品牌词
鞋靴,11729,流行男鞋,11730,休闲鞋,6908,休闲鞋,734f0c52f0d5132c,启用,普通,品牌词
汽车用品,6728,美容清洗,6743,车用掸子,14901,蜡拖,0d9217c394f9a80c,启用,普通,品牌词
医药保健,9192,传统滋补,9195,养生茶饮,12182,黑枸杞,9f23681050a95060,启用,普通,品牌词
家装建材,9855,墙地面材料,9860,油漆/涂料,9931,聚氨酯防水涂料,24800d359be177f6,启用,普通,品牌词
母婴,1319,奶粉,1523,婴幼奶粉,7052,婴儿牛奶,44fc491c3c6ad9bd,启用,普通,品牌词
食品饮料,1320,进口食品,5019,粮油调味,5024,食用橄榄油,84a3e9e40fb8595d,启用,普通,品牌词
运动户外,1318,运动服饰,12102,套装,9767,篮球服套装,352e1876e80c1ce8,启用,普通,品牌词
家用电器,737,生活电器,738,加湿器,748,大加湿器,0a14eb2d3728eb96,启用,普通,品牌词
礼品箱包,1672,礼品,2599,工艺礼品,1445,如意摆件,e6c54d53fedb0b20,启用,普通,品牌词
酒类,12259,中外名酒,12260,洋酒,9437,烧酒,c42f4db1b903e991,启用,普通,品牌词
服饰内衣,1315,服饰配件,1346,毛线手套,12027,毛线手套,3d65d34082b65883,启用,普通,品牌词
农资绿植,12473,花卉绿植,12480,绿植盆栽,12517,盆栽绿植,4c909e1ad48a6d3f,启用,普通,品牌词
电脑、办公,670,办公设备,716,安防监控,7374,拾音器,440d0240cf5c122a,启用,普通,品牌词
汽车用品,6728,车载电器,6740,导航仪,11867,导航,a235cc0efbd38812,启用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,单鞋,6914,女豆豆鞋,8a42fe3aecf40b25,启用,普通,品牌词
运动户外,1318,健身训练,1463,动感单车,1483,健身自行车,4cdeae0ff33f43cd,启用,普通,品牌词
厨具,6196,厨房配件,6214,厨房DIY/小工具,11978,厨房工具,6bd32b7af842ad3d,启用,普通,品牌词
家用电器,737,厨卫大电,13297,燃气热水器,13691,家用天然气热水器,d508f17b95a58879,启用,普通,品牌词
医药保健,9192,计生情趣,9196,情趣内衣,1506,性感诱惑,2d0e67888873ffda,启用,普通,品牌词
电脑、办公,670,文具/耗材,729,学生文具,1449,修正液,c3e67f8775f7429f,启用,普通,品牌词
家用电器,737,厨卫大电,13297,燃气灶,13298,天然气燃气灶,1eeff8a24e5b0d61,启用,普通,品牌词
家具,9847,卧室家具,9848,床,9863,板床,7e6331028fd8af0f,启用,普通,品牌词
鞋靴,11729,流行男鞋,11730,休闲鞋,6908,特价男鞋,8b2b5716244b62f9,启用,普通,品牌词
汽车用品,6728,车载电器,6740,车载净化器,6807,车载加湿器,f008974acc52c9e2,启用,普通,品牌词
珠宝首饰,6144,翡翠玉石,6167,项链/吊坠,6168,金镶玉,72f55a7518300d2e,启用,普通,品牌词
食品饮料,1320,茗茶,12202,黑茶,12212,茯砖,546c7e37ab89df4f,启用,普通,品牌词
食品饮料,1320,粮油调味,1584,米,2675,大米,464fa5231d86010b,启用,普通,品牌词
美妆个护,1316,清洁用品,1625,驱虫用品,1669,电子灭蚊器,a76f631a80d02609,启用,普通,品牌词
家居家纺,1620,家装软饰,11158,装饰摆件,11166,婚庆饰品,e2c6f48f13218ff9,启用,普通,品牌词
鞋靴,11729,流行男鞋,11730,凉鞋/沙滩鞋,6909,凉鞋男沙滩鞋,7eafb14389025aa4,启用,普通,品牌词
家装建材,9855,装饰材料,9861,浴霸,11960,风暖,7aa04e13aaddf0ca,启用,普通,品牌词
家装建材,9855,墙地面材料,9860,油漆/涂料,9931,环保漆,57fd58001c5ffdfc,启用,普通,品牌词
食品饮料,1320,茗茶,12202,养生茶,12211,苦荞茶,248bbbbfd2b42c2a,启用,普通,品牌词
家装建材,9855,装饰材料,9861,门,9939,安全门,33820cec9a34ada0,启用,普通,品牌词
食品饮料,1320,休闲食品,1583,休闲零食,1590,国产休闲零食,62cb397eb2c1610c,启用,普通,品牌词
家居家纺,1620,家纺,1621,被子,1627,鹅绒被,846eb6accabf98d4,启用,普通,品牌词
家具,9847,储物家具,9852,层架/置物架,9888,竹木家具,9975a26703967373,启用,普通,品牌词
家用电器,737,厨卫大电,13297,燃气热水器,13691,液化气热水器,7beb35f9fd68bf9e,启用,普通,品牌词
珠宝首饰,6144,时尚饰品,6182,耳饰,6191,水晶耳环,d5b612c9f53c9dd7,启用,普通,品牌词
家居家纺,1620,家装软饰,11158,装饰摆件,11166,创意摆件,bd8ca77a0aeefd53,启用,普通,品牌词
美妆个护,1316,女性护理,1385,卫生巾,1408,女性卫生巾,6b857c9613e6fae3,启用,普通,品牌词
运动户外,1318,骑行运动,12115,山地车,12117,跑车自行车,0dfd8ab30c30aa13,启用,普通,品牌词
家用电器,737,厨房小电,752,电压力锅,881,高压锅,6dca85836cc53068,启用,普通,品牌词
运动户外,1318,垂钓用品,12147,钓竿,12148,矶钓杆,3a7b481f231645ec,启用,普通,品牌词
珠宝首饰,6144,黄金,6145,黄金转运珠,13065,女士转运珠手链,a3943c14abcd56b8,启用,普通,品牌词
服饰内衣,1315,女装,1343,中老年女装,9721,中老年服饰,21e431720648e44e,启用,普通,品牌词
家具,9847,客厅家具,9849,凳子,11142,阳台休闲桌椅,ef5cff661793e27c,启用,普通,品牌词
运动户外,1318,体育用品,1466,棋牌麻将,5155,实木麻将机,fe88b6e036c51150,启用,普通,品牌词
家用电器,737,厨卫大电,13297,油烟机,1300,油烟机煤气灶,586f067f6e3900cc,启用,普通,品牌词
母婴,1319,童装,11842,运动鞋,11229,童装童鞋,304eaca05eb06710,启用,普通,品牌词
运动户外,1318,体育用品,1466,羽毛球,1695,体育运动,81d9d76cffcd5ecc,启用,普通,品牌词
家装建材,9855,五金工具,9858,手动工具,9921,金刚石,0282c59deacf1e4e,启用,普通,品牌词
家装建材,9855,墙地面材料,9860,涂刷辅料/胶类,11959,塑钢泥,55e1a38204c1324d,启用,普通,品牌词
鞋靴,11729,流行男鞋,11730,商务休闲鞋,6907,布洛克,b5aa2e44e93ec72d,启用,普通,品牌词
汽车用品,6728,美容清洗,6743,玻璃水,6757,玻璃水,db4bbfa0fdea0602,启用,普通,品牌词
家居家纺,1620,家纺,1621,枕芯,1628,薰衣草茶,dfe3c6aded306ba2,启用,普通,品牌词
美妆个护,1316,面部护肤,1381,洁面,1389,洁面膏,3e8da1af95c37bd5,启用,普通,品牌词
